ret_yr,system,model_type,1.2,1.3,2.2,2.3,Totals
2015,Egegik,rand_forest,670527819,517751496,3461167333,2254550544,6903997192
2015,Egegik,boost_tree,179622593,409408684,3499321594,2304029236,6392382107
2015,Igushik,rand_forest,323387470,837514774,75539318,40923301,1277364863
2015,Igushik,boost_tree,487317200,865425568,58568540,55513892,1466825199
2015,Kvichak,rand_forest,3172707348,1796446134,11459976224,1178507165,17607636871
2015,Kvichak,boost_tree,4166807556,1621071930,8977910767,1452332001,16218122253
2015,Naknek,rand_forest,2179637488,2698700954,963722410,792581647,6634642499
2015,Naknek,boost_tree,2513785706,1455708466,1273417740,929505615,6172417526
2015,Nushagak,rand_forest,105364111,1455307759,18701314,38127926,1617501110
2015,Nushagak,boost_tree,102891951,1484310150,4382276,43129907,1634714283
2015,Ugashik,rand_forest,1478704400,1589780706,939318258,223775855,4231579218
2015,Ugashik,boost_tree,999417114,1835041809,1083264084,177540398,4095263405
2015,Wood,rand_forest,3593272725,2903540752,216240176,120838713,6833892367
2015,Wood,boost_tree,3221137695,2657010193,216499577,62632413,6157279878
2014,Egegik,rand_forest,879886684,846387971,3834684889,1940846874,7501806417
2014,Egegik,boost_tree,383640060,417472496,3812131653,2019508209,6632752419
2014,Igushik,rand_forest,219539118,537369853,32933868,21907461,811750300
2014,Igushik,boost_tree,147711096,568369293,11543524,16769837,744393750
2014,Kvichak,rand_forest,3548049799,1438072125,4659382394,1001250570,10646754888
2014,Kvichak,boost_tree,4220925903,1528401947,3200505981,1008191376,9958025208
2014,Naknek,rand_forest,1535019272,2011826712,761238996,542794127,4850879106
2014,Naknek,boost_tree,1620570221,1819027405,836457596,485179176,4761234398
2014,Nushagak,rand_forest,157381187,1258932143,34593032,26664505,1477570868
2014,Nushagak,boost_tree,132247581,489517708,6098339,22694154,650557782
2014,Ugashik,rand_forest,1395700788,1096648235,1171005584,189494097,3852848703
2014,Ugashik,boost_tree,1490180206,884148560,871398087,105321436,3351048288
2014,Wood,rand_forest,3279006582,1811794014,280030387,137928782,5508759764
2014,Wood,boost_tree,3571595154,2038908081,442662239,275972614,6329138088
2013,Egegik,rand_forest,623648005,875179650,3358947242,3189422119,8047197017
2013,Egegik,boost_tree,831796646,879552612,2528064880,3274972229,7514386368
2013,Igushik,rand_forest,190147772,488657841,20751866,32824049,732381528
2013,Igushik,boost_tree,98547535,380347252,5185620,37690701,521771108
2013,Kvichak,rand_forest,1861233779,1333963326,2886849049,957821782,7039867936
2013,Kvichak,boost_tree,0,1026496735,1981025238,796880951,3804402924
2013,Naknek,rand_forest,1123390786,2264390286,713066729,1287417943,5388265745
2013,Naknek,boost_tree,1545026398,2201225128,1067797241,1244681244,6058730011
2013,Nushagak,rand_forest,116846215,1209378059,17802297,32094443,1376121015
2013,Nushagak,boost_tree,41051702,1423944702,12938056,38658714,1516593175
2013,Ugashik,rand_forest,1275944365,1585746623,825728570,601231622,4288651181
2013,Ugashik,boost_tree,1112566910,1672335815,930082626,308751049,4023736401
2013,Wood,rand_forest,1940971349,1707243517,163910432,107943752,3920069051
2013,Wood,boost_tree,1274473190,2515547333,65806122,0,3855826645
2012,Egegik,rand_forest,806075550,310231004,4997841078,2882928765,8997076397
2012,Egegik,boost_tree,205435581,393977165,5178108521,2746358948,8523880215
2012,Igushik,rand_forest,233571002,644448272,33207871,32298471,943525615
2012,Igushik,boost_tree,46365609,632596397,88701143,18812157,786475307
2012,Kvichak,rand_forest,2097198897,1163826887,5091461667,776379445,9128866895
2012,Kvichak,boost_tree,111426439,1198096313,6286137695,544021835,8139682283
2012,Naknek,rand_forest,1443262957,3046955306,813911711,790415229,6094545203
2012,Naknek,boost_tree,1066984558,1532518768,747734375,765894699,4113132401
2012,Nushagak,rand_forest,167841541,1254371508,15319526,49406038,1486938613
2012,Nushagak,boost_tree,215635662,1485674744,2114867,33948326,1737373599
2012,Ugashik,rand_forest,1346496670,1364057922,1105021486,595950734,4411526812
2012,Ugashik,boost_tree,922238312,1503978271,1341267395,658669434,4426153412
2012,Wood,rand_forest,2891184808,1960967693,225117811,140388888,5217659199
2012,Wood,boost_tree,2592615051,2267733154,236756096,274646378,5371750679
2011,Egegik,rand_forest,944397875,547323765,7619908077,1863642550,10975272267
2011,Egegik,boost_tree,885783615,127435026,4958972168,917511826,6889702635
2011,Igushik,rand_forest,235189508,672614548,61129344,31599219,1000532619
2011,Igushik,boost_tree,227258358,820868378,19640678,111473,1067878886
2011,Kvichak,rand_forest,2725742802,1448690477,6652122992,509008167,11335564437
2011,Kvichak,boost_tree,2352387695,836394730,8864342651,55226598,12108351674
2011,Naknek,rand_forest,1565930385,3191950931,783143292,833869696,6374894304
2011,Naknek,boost_tree,1197041550,2346899109,972970810,844674759,5361586227
2011,Nushagak,rand_forest,141622136,1454701775,49618491,32202386,1678144789
2011,Nushagak,boost_tree,74141326,1086482849,37672753,20069370,1218366299
2011,Ugashik,rand_forest,2069585241,1231027927,1494735369,444048222,5239396759
2011,Ugashik,boost_tree,1925182037,1113238983,1019861374,348981438,4407263832
2011,Wood,rand_forest,3295174471,3082375976,236333179,102896708,6716780335
2011,Wood,boost_tree,2695012207,2950990906,232128029,0,5878131142
2010,Egegik,rand_forest,1700586818,970868054,2695928960,2967069546,8334453379
2010,Egegik,boost_tree,1736486664,1127103806,2048901825,2001668549,6914160843
2010,Igushik,rand_forest,337311581,710226232,17945299,27813420,1093296532
2010,Igushik,boost_tree,428874893,802567902,17940652,11128709,1260512156
2010,Kvichak,rand_forest,4246785338,1321271665,2248989640,1275069748,9092116391
2010,Kvichak,boost_tree,4235067139,1846138306,1210050507,1293579559,8584835510
2010,Naknek,rand_forest,1539502648,3920468159,631598812,1048974747,7140544366
2010,Naknek,boost_tree,1457856445,4277679749,763843002,1355493622,7854872818
2010,Nushagak,rand_forest,223801018,1594823174,30843666,29858974,1879326833
2010,Nushagak,boost_tree,230302162,1898159485,52706,3077433,2131591786
2010,Ugashik,rand_forest,1989004409,1404847650,788888970,582474060,4765215089
2010,Ugashik,boost_tree,2607767029,1155428391,1056952591,537403374,5357551384
2010,Wood,rand_forest,3792819501,3199354199,172919772,152206666,7317300137
2010,Wood,boost_tree,4453254395,3387745667,86619625,187288342,8114908028
2009,Egegik,rand_forest,1336340775,2501590149,2775258350,2537488492,9150677766
2009,Egegik,boost_tree,1262328339,2448621216,2768134766,3425972900,9905057220
2009,Igushik,rand_forest,313764877,741523460,33951517,18349150,1107589003
2009,Igushik,boost_tree,264877892,639156952,60752578,3676736,968464158
2009,Kvichak,rand_forest,3331504624,1356089612,1869436776,639375110,7196406122
2009,Kvichak,boost_tree,3499252930,1318753357,644373932,525906029,5988286247
2009,Naknek,rand_forest,1408891409,4099209712,435144162,641553386,6584798669
2009,Naknek,boost_tree,2717124939,3729819031,280571575,287148495,7014664040
2009,Nushagak,rand_forest,160132676,1611562761,32007357,29622929,1833325723
2009,Nushagak,boost_tree,199691486,1456470337,16957834,0,1673119657
2009,Ugashik,rand_forest,1708819385,1723153163,479885209,613631365,4525489122
2009,Ugashik,boost_tree,2471253204,1075517654,406799431,209479485,4163049774
2009,Wood,rand_forest,3038988114,2661211424,189327567,113442129,6002969234
2009,Wood,boost_tree,2698813171,2122530975,132736025,0,4954080172
2008,Egegik,rand_forest,1381967028,2608580248,2349757157,2954570228,9294874661
2008,Egegik,boost_tree,1583254852,2667040100,4568909912,4818836365,13638041229
2008,Igushik,rand_forest,260135272,739553129,14021901,20278684,1033988985
2008,Igushik,boost_tree,281899738,964121704,5410808,0,1251432250
2008,Kvichak,rand_forest,1493864418,1576035819,1900889268,416803270,5387592775
2008,Kvichak,boost_tree,2013497162,1963051758,728413010,179822655,4884784584
2008,Naknek,rand_forest,1800042622,3874518441,353068648,664145000,6691774710
2008,Naknek,boost_tree,2008701935,4761787415,258557377,482783737,7511830463
2008,Nushagak,rand_forest,179087272,1782672231,19261543,41453300,2022474346
2008,Nushagak,boost_tree,181127567,1989285736,0,71351194,2241764498
2008,Ugashik,rand_forest,1970520623,2092757845,695401762,247119165,5005799395
2008,Ugashik,boost_tree,2555672760,2004047699,378291512,171418629,5109430599
2008,Wood,rand_forest,4039396968,3253680967,183378889,155939009,7632395834
2008,Wood,boost_tree,4617385559,3243682251,92272491,7607260,7960947561
2007,Egegik,rand_forest,867851452,2544947609,3046470044,1951961356,8411230461
2007,Egegik,boost_tree,734947662,2235567932,2205649872,0,5176165466
2007,Igushik,rand_forest,138414295,799786735,32912583,42095118,1013208731
2007,Igushik,boost_tree,248692837,725462646,29425662,43705411,1047286556
2007,Kvichak,rand_forest,2929028594,1183017835,4371209093,617543650,9100799173
2007,Kvichak,boost_tree,5405389404,1372265778,0,0,6777655182
2007,Naknek,rand_forest,1202699087,4115283082,542253565,588600723,6448836458
2007,Naknek,boost_tree,1489320068,4340670776,442475128,155877476,6428343449
2007,Nushagak,rand_forest,144141413,1955771307,24315005,36651020,2160878745
2007,Nushagak,boost_tree,141104355,1601880035,0,33989823,1776974213
2007,Ugashik,rand_forest,1642132061,1861684424,1103319353,401292744,5008428583
2007,Ugashik,boost_tree,2364999390,1536400757,1001672058,92060690,4995132895
2007,Wood,rand_forest,2991693339,3259364678,192111054,243053731,6686222802
2007,Wood,boost_tree,3760201416,3820189209,88152199,258830967,7927373791
2006,Egegik,rand_forest,979315656,629190475,3697588104,2989302294,8295396528
2006,Egegik,boost_tree,968978882,1035239944,3711295166,2475197754,8190711746
2006,Igushik,rand_forest,156747354,517365860,24030934,28535694,726679842
